pba_code,pba_label,cendiv,cendiv_label,pubclim,pubclim_label,sqft,floor_count,year_built_category,operating_hours,occupancy_pct,site_eui,weight
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,430000,1,9,90,,2.6905,52.43
14,Education,8,Mountain,3,Mixed mild,19750,2,7,55,,68.7134,621.37
13,Public assembly,3,East North Central,3,Mixed mild,87000,4,5,60,,96.1069,489.02
15,Food service,3,East North Central,2,Cool,1200,1,4,80,,314.0467,1265.79
5,Nonrefrigerated warehouse,3,East North Central,1,Cold or very cold,25000,2,8,40,,17.214,3554.88
18,Lodging,8,Mountain,2,Cool,255000,7,4,168,,76.3287,7.45
14,Education,8,Mountain,2,Cool,52000,1,7,45,,36.9841,330.8
5,Nonrefrigerated warehouse,2,Middle Atlantic,2,Cool,158000,3,3,40,,9.2583,8.76
2,Office,3,East North Central,1,Cold or very cold,5000,2,8,40,100.0,40.9172,3075.23
2,Office,7,West South Central,5,Hot or very hot,2500,1,5,40,100.0,56.504,2990.63
4,Laboratory,6,East South Central,4,Warm,315000,4,4,168,,378.2654,3.85
25,Retail other than mall,6,East South Central,4,Warm,40000,1,4,55,,58.9237,591.56
5,Nonrefrigerated warehouse,5,South Atlantic,5,Hot or very hot,85000,1,7,60,,16.785,32.47
2,Office,2,Middle Atlantic,2,Cool,102000,4,2,54,75.0,63.2645,224.76
2,Office,5,South Atlantic,5,Hot or very hot,128000,6,7,55,76.0,64.2233,14.9
2,Office,5,South Atlantic,5,Hot or very hot,45500,4,6,72,93.0,141.0044,304.76
18,Lodging,5,South Atlantic,4,Warm,210000,9,4,168,,57.0656,15.29
26,Service,7,West South Central,5,Hot or very hot,55000,1,4,72,,67.8127,14.9
26,Service,9,Pacific,4,Warm,6700,1,8,43,,55.9782,1531.55
26,Service,9,Pacific,2,Cool,4000,2,3,55,,20.3195,1420.0
25,Retail other than mall,5,South Atlantic,4,Warm,100000,1,8,70,,33.7634,213.58
2,Office,3,East North Central,2,Cool,176000,7,5,65,30.0,57.0767,141.31
5,Nonrefrigerated warehouse,7,West South Central,4,Warm,215000,2,4,13,,29.9848,14.9
8,Outpatient health care,4,West North Central,1,Cold or very cold,94000,4,7,72,95.0,164.6622,53.61
17,Nursing,6,East South Central,4,Warm,58000,1,8,168,,92.4053,245.01
14,Education,8,Mountain,3,Mixed mild,1200,1,8,35,,44.1483,4468.96
25,Retail other than mall,3,East North Central,2,Cool,64000,1,8,85,,41.7054,215.07
18,Lodging,3,East North Central,7,Withheld for confidentiality,340000,12,6,168,,81.6391,10.62
15,Food service,9,Pacific,3,Mixed mild,5500,1,5,168,,493.1922,1265.79
2,Office,9,Pacific,2,Cool,330000,18,6,66,87.0,66.6062,15.06
2,Office,5,South Atlantic,3,Mixed mild,126000,6,7,70,80.0,136.4973,54.0
26,Service,3,East North Central,2,Cool,5001,1,7,45,,41.5551,3075.23
5,Nonrefrigerated warehouse,8,Mountain,3,Mixed mild,112000,2,5,60,,31.6361,247.57
5,Nonrefrigerated warehouse,3,East North Central,2,Cool,260000,1,7,60,,63.6254,15.06
18,Lodging,2,Middle Atlantic,3,Mixed mild,142000,12,5,168,,75.8077,97.52
25,Retail other than mall,3,East North Central,2,Cool,64000,1,7,96,,89.919,125.92
12,Religious worship,5,South Atlantic,4,Warm,22000,1,8,37,,21.0328,1413.09
12,Religious worship,6,East South Central,4,Warm,9600,2,8,15,,5.9521,2577.06
15,Food service,9,Pacific,3,Mixed mild,1800,1,2,95,,200.4622,1265.79
18,Lodging,3,East North Central,2,Cool,3200,2,8,168,,125.9369,12528.53
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,900000,1,8,100,,100.6409,69.6
25,Retail other than mall,1,New England,2,Cool,124000,1,7,105,,77.2251,105.74
2,Office,2,Middle Atlantic,3,Mixed mild,5000,2,2,56,100.0,53.6186,10800.91
12,Religious worship,7,West South Central,5,Hot or very hot,11250,1,7,52,,47.8148,2990.63
14,Education,6,East South Central,4,Warm,69000,2,3,40,,36.2647,97.52
25,Retail other than mall,6,East South Central,4,Warm,70000,1,7,102,,73.421,125.04
5,Nonrefrigerated warehouse,3,East North Central,3,Mixed mild,500001,1,7,112,,40.5475,15.06
13,Public assembly,5,South Atlantic,5,Hot or very hot,60000,3,8,40,,50.4337,431.11
5,Nonrefrigerated warehouse,8,Mountain,5,Hot or very hot,5300,1,5,3,,6.7725,6534.79
16,Inpatient health care,7,West South Central,7,Withheld for confidentiality,1700000,7,4,168,,268.6875,8.78
14,Education,1,New England,2,Cool,310000,3,9,50,,75.1348,44.12
2,Office,5,South Atlantic,5,Hot or very hot,85000,4,7,45,100.0,85.7233,304.76
5,Nonrefrigerated warehouse,1,New England,2,Cool,102000,5,2,40,,17.4444,68.56
2,Office,7,West South Central,4,Warm,2500,1,2,40,100.0,62.8516,2990.63
15,Food service,8,Mountain,1,Cold or very cold,5000,1,3,80,,196.0014,1049.59
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,800000,2,5,60,,16.8119,31.35
2,Office,5,South Atlantic,5,Hot or very hot,480000,18,6,168,60.0,91.9014,14.9
18,Lodging,3,East North Central,7,Withheld for confidentiality,30000,2,6,168,,87.6699,495.15
2,Office,5,South Atlantic,4,Warm,800000,12,6,55,85.0,69.4193,14.9
25,Retail other than mall,9,Pacific,5,Hot or very hot,220000,1,8,126,,115.6328,15.06
16,Inpatient health care,5,South Atlantic,7,Withheld for confidentiality,130000,2,9,168,,158.526,92.78
24,Enclosed mall,9,Pacific,7,Withheld for confidentiality,800000,2,6,74,85.0,44.7759,15.08
14,Education,1,New England,1,Cold or very cold,58000,1,7,45,,70.8297,97.52
15,Food service,5,South Atlantic,4,Warm,7400,2,9,84,,285.987,1218.03
13,Public assembly,3,East North Central,2,Cool,1500,1,9,60,,31.8727,1472.45
16,Inpatient health care,5,South Atlantic,7,Withheld for confidentiality,1700000,12,4,168,,81.3759,3.91
14,Education,1,New England,7,Withheld for confidentiality,11250,1,9,60,,99.6029,677.21
18,Lodging,9,Pacific,4,Warm,84000,2,5,168,,64.6606,100.08
13,Public assembly,7,West South Central,3,Mixed mild,66000,2,9,84,,85.6901,117.32
2,Office,8,Mountain,2,Cool,10250,2,8,45,100.0,122.3223,8.84
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,46000,1,5,60,,10.9124,611.8
2,Office,7,West South Central,3,Mixed mild,13250,3,9,168,75.0,13.275,2934.43
2,Office,8,Mountain,2,Cool,176000,4,6,65,85.0,60.7338,58.26
13,Public assembly,4,West North Central,2,Cool,144000,5,8,96,,155.1666,22.05
2,Office,5,South Atlantic,4,Warm,1200,1,5,40,50.0,75.2733,6659.94
14,Education,2,Middle Atlantic,3,Mixed mild,270000,5,2,40,,47.278,50.03
2,Office,3,East North Central,2,Cool,37000,3,5,70,100.0,17.817,648.9
2,Office,8,Mountain,2,Cool,20000,1,8,80,100.0,85.1478,1445.98
2,Office,5,South Atlantic,5,Hot or very hot,370000,8,7,168,95.0,33.2288,58.26
2,Office,5,South Atlantic,4,Warm,152000,4,7,55,90.0,73.8038,340.6
14,Education,5,South Atlantic,7,Withheld for confidentiality,82000,3,2,60,,106.6557,97.52
15,Food service,9,Pacific,5,Hot or very hot,2700,1,2,96,,43.3978,1029.87
14,Education,7,West South Central,5,Hot or very hot,260000,3,9,44,,22.0621,44.64
4,Laboratory,5,South Atlantic,4,Warm,365000,12,8,60,,252.6765,5.52
8,Outpatient health care,2,Middle Atlantic,2,Cool,78000,2,7,35,100.0,88.5023,51.49
12,Religious worship,2,Middle Atlantic,1,Cold or very cold,3600,1,2,8,,64.7514,2934.43
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,300000,2,9,168,,29.5008,15.06
25,Retail other than mall,3,East North Central,2,Cool,176000,1,8,168,,132.1055,98.46
13,Public assembly,3,East North Central,2,Cool,7000,1,7,168,,39.4026,1399.59
15,Food service,3,East North Central,1,Cold or very cold,3300,1,8,91,,594.6764,1265.79
14,Education,1,New England,7,Withheld for confidentiality,138000,3,9,45,,69.5193,50.23
25,Retail other than mall,6,East South Central,4,Warm,128000,1,8,100,,80.3275,125.04
2,Office,2,Middle Atlantic,3,Mixed mild,28000,2,6,40,75.0,33.2915,589.53
23,Strip shopping center,8,Mountain,2,Cool,5200,2,6,25,83.0,75.3519,1930.83
14,Education,8,Mountain,2,Cool,50001,2,9,45,,67.8381,99.04
2,Office,2,Middle Atlantic,3,Mixed mild,250000,8,7,168,100.0,70.78,58.26
26,Service,3,East North Central,1,Cold or very cold,5500,1,8,40,,120.1975,3075.23
91,Other,2,Middle Atlantic,3,Mixed mild,15000,1,6,168,,980.2375,690.18
14,Education,2,Middle Atlantic,3,Mixed mild,128000,1,7,60,,75.7145,99.38
14,Education,7,West South Central,4,Warm,27500,1,6,50,,18.4598,1426.39
2,Office,7,West South Central,5,Hot or very hot,250000,4,9,130,100.0,55.8408,58.26
2,Office,4,West North Central,1,Cold or very cold,4150,2,5,45,100.0,51.7053,22.22
6,Food sales,3,East North Central,3,Mixed mild,1800,1,4,112,,210.5761,2934.43
12,Religious worship,6,East South Central,4,Warm,6100,1,3,8,,28.9762,2990.63
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,130000,2,9,40,,6.2943,49.37
2,Office,4,West North Central,2,Cool,10000,2,8,168,100.0,63.9558,1745.76
23,Strip shopping center,7,West South Central,5,Hot or very hot,150000,1,5,75,93.0,146.0949,175.02
2,Office,9,Pacific,4,Warm,6200,2,9,40,100.0,8.9935,1265.79
2,Office,3,East North Central,2,Cool,2400,3,5,24,100.0,13.6812,1335.8
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,370000,1,8,40,,53.6481,32.47
25,Retail other than mall,8,Mountain,1,Cold or very cold,7200,1,8,66,,158.7589,2990.63
14,Education,5,South Atlantic,7,Withheld for confidentiality,58000,1,7,81,,163.4582,288.37
17,Nursing,5,South Atlantic,4,Warm,53000,1,3,168,,169.6942,460.21
5,Nonrefrigerated warehouse,1,New England,1,Cold or very cold,1950,1,8,168,,2.54,6534.79
26,Service,9,Pacific,4,Warm,2150,2,8,79,,42.387,3075.23
14,Education,4,West North Central,1,Cold or very cold,30000,2,8,55,,60.9184,504.63
23,Strip shopping center,2,Middle Atlantic,3,Mixed mild,13000,2,4,75,100.0,100.2649,2009.74
26,Service,3,East North Central,2,Cool,1050,1,4,45,,7.8048,3075.23
2,Office,5,South Atlantic,3,Mixed mild,17750,2,5,40,100.0,105.1532,589.53
2,Office,5,South Atlantic,3,Mixed mild,275000,12,6,45,60.0,128.2069,81.37
2,Office,3,East North Central,2,Cool,800000,18,6,168,95.0,87.3907,15.06
2,Office,9,Pacific,4,Warm,13500,2,5,50,100.0,29.6078,1531.55
14,Education,2,Middle Atlantic,3,Mixed mild,35500,1,4,35,,72.181,288.37
14,Education,3,East North Central,3,Mixed mild,77000,2,8,68,,47.8879,100.08
14,Education,6,East South Central,4,Warm,8800,1,8,84,,99.7205,4468.96
2,Office,2,Middle Atlantic,3,Mixed mild,700000,5,5,168,92.0,117.6815,14.9
6,Food sales,5,South Atlantic,4,Warm,2400,3,3,40,,170.7571,1195.14
14,Education,3,East North Central,2,Cool,118000,3,2,100,,73.1386,100.08
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,140000,1,2,84,,24.1544,32.47
91,Other,2,Middle Atlantic,3,Mixed mild,17000,4,3,24,,59.8643,1421.48
6,Food sales,8,Mountain,5,Hot or very hot,120000,1,7,168,,168.7666,14.67
26,Service,2,Middle Atlantic,2,Cool,6400,1,5,75,,38.9,6659.94
2,Office,5,South Atlantic,4,Warm,1500,1,8,45,100.0,12.5853,3320.27
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,182000,1,3,50,,20.0089,69.6
25,Retail other than mall,5,South Atlantic,5,Hot or very hot,198000,1,7,168,,112.3714,14.9
14,Education,8,Mountain,4,Warm,51000,1,3,55,,23.5327,423.01
17,Nursing,2,Middle Atlantic,1,Cold or very cold,215000,4,5,168,,146.9776,11.64
17,Nursing,5,South Atlantic,4,Warm,35000,1,5,168,,161.6648,1218.58
14,Education,4,West North Central,1,Cold or very cold,39000,3,8,80,,40.1685,502.9
16,Inpatient health care,2,Middle Atlantic,7,Withheld for confidentiality,425000,8,5,168,,304.2619,10.07
2,Office,3,East North Central,2,Cool,230000,12,7,68,77.0,56.1698,15.06
5,Nonrefrigerated warehouse,3,East North Central,2,Cool,10250,3,4,43,,60.1974,1265.79
2,Office,7,West South Central,4,Warm,196000,2,4,60,100.0,9.8328,125.04
8,Outpatient health care,2,Middle Atlantic,3,Mixed mild,60000,12,2,50,100.0,53.4977,127.33
5,Nonrefrigerated warehouse,9,Pacific,5,Hot or very hot,26500,1,8,60,,25.5511,611.8
2,Office,5,South Atlantic,4,Warm,1700,1,8,45,100.0,46.9294,2990.63
2,Office,7,West South Central,3,Mixed mild,8000,1,5,45,100.0,44.6772,30.86
2,Office,7,West South Central,4,Warm,13000,1,6,40,100.0,51.4821,1413.09
6,Food sales,5,South Atlantic,4,Warm,1900,1,6,80,,270.5542,2990.63
13,Public assembly,2,Middle Atlantic,2,Cool,285000,4,6,47,,138.3155,14.9
2,Office,9,Pacific,4,Warm,245000,18,6,168,85.0,58.9767,15.06
13,Public assembly,1,New England,2,Cool,32500,4,7,168,,75.6528,1461.43
12,Religious worship,6,East South Central,4,Warm,50000,2,8,168,,27.9778,591.56
5,Nonrefrigerated warehouse,8,Mountain,3,Mixed mild,15000,1,6,45,,27.5671,1030.4
2,Office,2,Middle Atlantic,2,Cool,57000,1,7,50,24.0,64.8492,117.32
14,Education,2,Middle Atlantic,2,Cool,106000,1,3,55,,69.0053,117.32
16,Inpatient health care,3,East North Central,7,Withheld for confidentiality,400000,7,8,168,,302.3006,43.44
17,Nursing,3,East North Central,2,Cool,55000,1,6,168,,92.0739,290.39
2,Office,3,East North Central,2,Cool,270000,12,7,50,80.0,113.7793,31.68
5,Nonrefrigerated warehouse,2,Middle Atlantic,3,Mixed mild,400000,2,5,60,,46.9898,69.6
12,Religious worship,5,South Atlantic,3,Mixed mild,10000,1,8,4,,13.5657,2990.63
7,Public order and safety,9,Pacific,7,Withheld for confidentiality,72000,3,5,45,,86.2209,290.39
7,Public order and safety,6,East South Central,7,Withheld for confidentiality,410000,8,8,55,,59.9964,6.42
26,Service,3,East North Central,1,Cold or very cold,65000,2,8,40,,69.0027,290.39
14,Education,2,Middle Atlantic,2,Cool,138000,1,5,40,,62.4777,8.84
5,Nonrefrigerated warehouse,6,East South Central,4,Warm,210000,1,8,40,,0.6585,173.7
14,Education,7,West South Central,5,Hot or very hot,81000,1,5,55,,49.4578,330.8
5,Nonrefrigerated warehouse,5,South Atlantic,4,Warm,75000,1,6,40,,12.5778,570.75
14,Education,5,South Atlantic,3,Mixed mild,460000,3,8,126,,72.3767,17.7
14,Education,9,Pacific,4,Warm,49000,1,4,50,,94.3611,306.64
13,Public assembly,1,New England,2,Cool,8200,2,4,56,,101.0124,2934.43
25,Retail other than mall,5,South Atlantic,3,Mixed mild,31000,2,5,56,,29.8165,14.9
7,Public order and safety,8,Mountain,7,Withheld for confidentiality,136000,5,4,50,,39.4988,50.03
5,Nonrefrigerated warehouse,4,West North Central,1,Cold or very cold,495000,2,7,168,,37.6925,14.9
14,Education,7,West South Central,3,Mixed mild,5001,1,4,53,,122.9066,1426.39
16,Inpatient health care,2,Middle Atlantic,7,Withheld for confidentiality,430000,6,9,168,,290.5955,10.07
2,Office,3,East North Central,3,Mixed mild,21750,1,5,45,50.0,128.6366,15.06
26,Service,3,East North Central,2,Cool,12750,2,7,45,,96.0773,4375.84
18,Lodging,7,West South Central,7,Withheld for confidentiality,200000,12,5,168,,76.3784,9.01
13,Public assembly,5,South Atlantic,5,Hot or very hot,30000,2,3,40,,48.2737,621.37
6,Food sales,5,South Atlantic,3,Mixed mild,2400,1,8,74,,192.4108,3480.09
2,Office,5,South Atlantic,4,Warm,200000,3,3,60,100.0,91.2548,5.98
2,Office,4,West North Central,1,Cold or very cold,5600,1,8,50,100.0,55.4018,2990.63
18,Lodging,2,Middle Atlantic,7,Withheld for confidentiality,280000,18,2,168,,158.2119,9.01
2,Office,8,Mountain,3,Mixed mild,66000,1,4,50,100.0,109.6697,245.01
14,Education,3,East North Central,1,Cold or very cold,390000,3,4,50,,58.2564,10.55
13,Public assembly,7,West South Central,4,Warm,280000,1,9,48,,162.3514,52.07
26,Service,6,East South Central,3,Mixed mild,5200,2,8,45,,97.4871,2990.63
2,Office,9,Pacific,4,Warm,280000,2,5,71,100.0,29.2104,15.06
14,Education,3,East North Central,2,Cool,75000,3,5,60,,89.5776,306.64
16,Inpatient health care,1,New England,7,Withheld for confidentiality,126000,3,4,168,,215.0435,61.59
18,Lodging,7,West South Central,3,Mixed mild,64000,5,8,168,,82.3502,9.07
8,Outpatient health care,9,Pacific,3,Mixed mild,100000,6,2,40,100.0,57.5267,611.8
2,Office,5,South Atlantic,3,Mixed mild,430000,18,7,60,100.0,61.0839,14.9
12,Religious worship,7,West South Central,3,Mixed mild,20000,2,7,34,,77.2279,1241.41
18,Lodging,3,East North Central,7,Withheld for confidentiality,15000,2,6,168,,65.5691,1399.59
12,Religious worship,1,New England,2,Cool,18500,3,5,16,,24.3495,1461.43
14,Education,8,Mountain,2,Cool,240000,3,5,60,,43.841,8.84
14,Education,2,Middle Atlantic,3,Mixed mild,150000,4,8,122,,96.5778,110.84
14,Education,4,West North Central,3,Mixed mild,130000,1,8,40,,45.9301,99.38
14,Education,2,Middle Atlantic,2,Cool,280000,2,3,40,,91.62,8.84
14,Education,1,New England,2,Cool,59000,2,7,80,,17.6525,324.59
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,27000,2,5,45,,1.6545,611.8
18,Lodging,5,South Atlantic,7,Withheld for confidentiality,210000,12,6,168,,60.0794,9.01
15,Food service,8,Mountain,5,Hot or very hot,5000,1,8,140,,387.8786,1195.14
13,Public assembly,9,Pacific,4,Warm,16000,1,8,36,,34.2631,1531.55
26,Service,8,Mountain,5,Hot or very hot,2200,1,3,55,,44.3195,2934.43
6,Food sales,7,West South Central,3,Mixed mild,2100,1,8,85,,180.6329,2990.63
18,Lodging,8,Mountain,7,Withheld for confidentiality,2100000,18,6,168,,37.9946,8.84
2,Office,4,West North Central,1,Cold or very cold,275000,5,7,168,100.0,464.943,14.9
13,Public assembly,2,Middle Atlantic,3,Mixed mild,400000,3,2,45,,120.3254,8.57
14,Education,2,Middle Atlantic,3,Mixed mild,82000,2,8,50,,102.0534,99.04
5,Nonrefrigerated warehouse,7,West South Central,5,Hot or very hot,70000,1,7,80,,25.9731,247.57
14,Education,2,Middle Atlantic,3,Mixed mild,164000,5,4,55,,121.6959,50.03
18,Lodging,9,Pacific,7,Withheld for confidentiality,250000,18,8,168,,49.7279,9.11
23,Strip shopping center,5,South Atlantic,4,Warm,35000,1,7,89,100.0,96.5444,841.34
16,Inpatient health care,7,West South Central,7,Withheld for confidentiality,1700000,18,9,168,,194.6799,8.78
2,Office,2,Middle Atlantic,3,Mixed mild,72000,18,6,85,100.0,92.7581,246.59
13,Public assembly,5,South Atlantic,5,Hot or very hot,180000,2,6,112,,129.9007,14.9
5,Nonrefrigerated warehouse,4,West North Central,3,Mixed mild,174000,1,3,120,,84.3863,55.13
14,Education,3,East North Central,2,Cool,450000,4,5,96,,37.9403,8.93
2,Office,2,Middle Atlantic,7,Withheld for confidentiality,1500000,18,7,168,90.0,111.5336,14.9
14,Education,8,Mountain,7,Withheld for confidentiality,225000,6,6,120,,82.3433,6.77
8,Outpatient health care,2,Middle Atlantic,3,Mixed mild,5800,3,3,86,100.0,40.5941,1195.14
18,Lodging,7,West South Central,7,Withheld for confidentiality,375000,6,6,168,,48.8561,9.01
5,Nonrefrigerated warehouse,9,Pacific,4,Warm,180000,2,6,40,,54.5379,15.06
25,Retail other than mall,7,West South Central,3,Mixed mild,102000,1,8,103,,88.707,125.04
15,Food service,7,West South Central,5,Hot or very hot,2450,1,3,65,,199.9788,2990.63
